feature,importance,mean_shap_value
pace_t-4_5:41,6.131743e-05,-6.131743e-05
pace_t-4_5:49,6.105258e-05,-6.105258e-05
"pace_previous_5'58""",6.0240483e-05,-6.0240483e-05
pace_t-4_6:53,5.9840186e-05,-5.9840186e-05
"7d_avg_pace_5'32""",5.9615668e-05,5.9615668e-05
"30d_avg_pace_6'04""",5.9004265e-05,-5.9004265e-05
pace_t-2_6:30,5.6730172e-05,-5.6730172e-05
"7d_avg_pace_6'19""",5.4419295e-05,-5.4419295e-05
pace_t-3_7:54,5.350224e-05,5.350224e-05
"7d_avg_pace_5'46""",5.3358555e-05,-5.3358555e-05
"30d_avg_pace_8'18""",5.334795e-05,-5.334795e-05
pace_t-3_7:38,5.267987e-05,5.267987e-05
pace_t-4_7:46,5.2265987e-05,-5.2265987e-05
"pace_previous_7'12""",5.188223e-05,5.188223e-05
"pace_diff_0'09""",5.1651317e-05,5.1651317e-05
"pace_diff_0'13""",5.1429124e-05,-5.1429124e-05
"7d_avg_pace_6'34""",5.1270043e-05,-5.1270043e-05
pace_t-4_5:32,5.1218907e-05,-5.1218907e-05
"pace_previous_5'25""",5.057785e-05,5.057785e-05
"pace_previous_6'38""",5.0041574e-05,-5.0041574e-05
"30d_avg_pace_8'50""",4.748355e-05,4.748355e-05
"pace_previous_7'15""",4.6526067e-05,-4.6526067e-05
pace_t-4_5:52,4.6435816e-05,-4.6435816e-05
"pace_diff_-0'15""",4.626971e-05,4.626971e-05
"pace_previous_5'40""",4.5753623e-05,4.5753623e-05
pace_t-3_5:41,4.5709887e-05,-4.5709887e-05
"pace_diff_1'15""",4.4483033e-05,-4.4483033e-05
pace_t-2_8:07,4.429919e-05,4.429919e-05
pace_t-3_5:06,4.3721644e-05,-4.3721644e-05
"7d_avg_pace_5'59""",4.141066e-05,-4.141066e-05
"pace_previous_8'20""",4.1260697e-05,-4.1260697e-05
"pace_previous_8'54""",4.0637547e-05,4.0637547e-05
pace_t-3_6:21,4.047133e-05,-4.047133e-05
"30d_avg_pace_7'51""",4.0436335e-05,4.0436335e-05
"pace_previous_9'02""",3.9776998e-05,3.9776998e-05
pace_t-3_6:43,3.946666e-05,-3.946666e-05
"30d_avg_pace_5'54""",3.8609123e-05,-3.8609123e-05
"30d_avg_pace_8'04""",3.6430814e-05,3.6430814e-05
"30d_avg_pace_8'21""",3.613542e-05,3.613542e-05
pace_t-4_5:54,3.5971236e-05,-3.5971236e-05
"pace_previous_7'34""",3.5098717e-05,3.5098717e-05
"7d_avg_pace_5'55""",3.50568e-05,-3.50568e-05
"pace_previous_6'04""",3.4903052e-05,-3.4903052e-05
pace_t-3_8:22,3.4428762e-05,3.4428762e-05
"pace_previous_7'33""",3.3634147e-05,3.3634147e-05
"pace_diff_-1'34""",3.3183584e-05,3.3183584e-05
pace_t-1_8:32,3.307077e-05,3.307077e-05
"7d_avg_pace_6'39""",3.2942073e-05,-3.2942073e-05
"pace_diff_0'11""",3.2676286e-05,-3.2676286e-05
"pace_diff_-0'02""",3.258728e-05,-3.258728e-05
pace_t-4_6:21,3.256241e-05,3.256241e-05
"pace_diff_-1'29""",3.24049e-05,3.24049e-05
"pace_previous_8'31""",3.2087515e-05,3.2087515e-05
"pace_previous_5'34""",3.2038603e-05,-3.2038603e-05
"pace_previous_7'52""",3.090693e-05,3.090693e-05
"30d_avg_pace_6'09""",3.0614883e-05,-3.0614883e-05
"30d_avg_pace_7'11""",3.038486e-05,3.038486e-05
pace_t-1_6:55,3.0311468e-05,-3.0311468e-05
"30d_avg_pace_5'56""",2.8885986e-05,-2.8885986e-05
"30d_avg_pace_5'52""",2.8656961e-05,-2.8656961e-05
pace_t-4_8:32,2.8596876e-05,-2.8596876e-05
pace_t-2_5:38,2.8214748e-05,-2.8214748e-05
pace_t-1_6:29,2.8200053e-05,-2.8200053e-05
"7d_avg_pace_6'04""",2.8150056e-05,-2.8150056e-05
pace_t-4_5:53,2.7843269e-05,-2.7843269e-05
"30d_avg_pace_5'55""",2.7694898e-05,-2.7694898e-05
"7d_avg_pace_5'49""",2.7476444e-05,-2.7476444e-05
"30d_avg_pace_8'08""",2.7437865e-05,2.7437865e-05
pace_t-2_7:20,2.7020391e-05,2.7020391e-05
pace_t-4_6:43,2.6614065e-05,-2.6614065e-05
"7d_avg_pace_5'54""",2.576581e-05,-2.576581e-05
pace_t-2_6:21,2.4926441e-05,-2.4926441e-05
"pace_diff_0'38""",2.4467727e-05,-2.4467727e-05
pace_t-4_5:45,2.4378569e-05,2.4378569e-05
"7d_avg_pace_6'06""",2.4083492e-05,-2.4083492e-05
"pace_diff_2'12""",2.3810077e-05,2.3810077e-05
"pace_previous_7'45""",2.3629673e-05,2.3629673e-05
pace_t-3_7:45,2.362063e-05,2.362063e-05
"pace_previous_8'49""",2.351885e-05,2.351885e-05
pace_t-4_5:55,2.269004e-05,-2.269004e-05
pace_t-2_6:53,2.267334e-05,-2.267334e-05
"30d_avg_pace_6'05""",2.2562943e-05,2.2562943e-05
"30d_avg_pace_8'25""",2.240358e-05,2.240358e-05
pace_t-4_6:14,2.2367063e-05,-2.2367063e-05
"pace_diff_0'02""",2.2239597e-05,2.2239597e-05
pace_t-2_5:34,2.2221197e-05,-2.2221197e-05
"pace_diff_0'29""",2.1469594e-05,-2.1469594e-05
pace_t-3_8:10,2.1454747e-05,-2.1454747e-05
pace_t-4_6:23,2.1107227e-05,-2.1107227e-05
pace_t-4_8:25,2.1073676e-05,2.1073676e-05
"30d_avg_pace_8'29""",2.0971438e-05,2.0971438e-05
"pace_previous_7'16""",2.04724e-05,-2.04724e-05
"pace_diff_-1'03""",2.036813e-05,2.036813e-05
"pace_previous_5'57""",2.0272146e-05,-2.0272146e-05
"30d_avg_pace_5'49""",1.9765152e-05,-1.9765152e-05
"pace_previous_7'42""",1.9761015e-05,1.9761015e-05
"pace_previous_7'54""",1.9706946e-05,1.9706946e-05
pace_t-4_6:38,1.934908e-05,-1.934908e-05
pace_t-4_6:13,1.9294454e-05,-1.9294454e-05
"pace_previous_6'21""",1.9128136e-05,1.9128136e-05
pace_t-4_6:35,1.8971976e-05,1.8971976e-05
"30d_avg_pace_8'41""",1.8539573e-05,1.8539573e-05
"pace_previous_5'00""",1.8395905e-05,-1.8395905e-05
"7d_avg_pace_7'00""",1.8243445e-05,-1.8243445e-05
"30d_avg_pace_6'18""",1.7859604e-05,-1.7859604e-05
pace_t-3_6:01,1.7775064e-05,-1.7775064e-05
